range,scale,variant_mode,eligible_runners,median,p10,p90,outside_0_200,median_abs_or_diff,or_correlation
2025,current_length,base,24942,94.745,77.563,107.232,42,31.927,0.330
2025,current_length,same_day,23935,94.634,78.435,106.183,33,31.509,0.272
2025,current_length,hierarchical,24942,94.653,78.401,106.285,35,31.601,0.275
2025,sec_per_f,base,24942,95.947,83.818,105.225,3,32.723,0.366
2025,sec_per_f,same_day,23935,95.845,84.471,104.483,3,32.449,0.307
2025,sec_per_f,hierarchical,24942,95.866,84.438,104.532,3,32.554,0.309
2025,pct_time,base,24942,91.388,65.509,111.086,84,29.942,0.368
2025,pct_time,same_day,23935,91.149,66.710,109.543,68,29.523,0.308
2025,pct_time,hierarchical,24942,91.196,66.662,109.653,72,29.650,0.310
2026_holdout,current_length,base,14534,93.719,75.789,107.149,37,31.216,0.362
2026_holdout,current_length,same_day,13766,94.405,77.944,106.449,31,31.930,0.298
2026_holdout,current_length,hierarchical,14534,94.306,77.510,106.532,33,31.936,0.301
2026_holdout,sec_per_f,base,14534,95.181,83.030,105.300,1,32.618,0.393
2026_holdout,sec_per_f,same_day,13766,95.744,84.359,104.792,5,33.099,0.325
2026_holdout,sec_per_f,hierarchical,14534,95.663,84.096,104.871,5,33.130,0.330
2026_holdout,pct_time,base,14534,89.697,64.070,111.180,47,28.747,0.394
2026_holdout,pct_time,same_day,13766,90.948,66.715,110.201,47,29.809,0.326
2026_holdout,pct_time,hierarchical,14534,90.767,66.098,110.387,52,29.771,0.331
