race_source_id,date,course,distance,distance_yards,going,runner,finish_position,or,base_rating,same_day_rating,historical_fallback_rating,base_standard,actual,deviation_seconds,deviation_per_f,standard_sample_size,standard_sample_stdev,same_day_peers,same_day_stdev,historical_sample,likely_cause
856826,2025-05-11,Plumpton,1m 7f 195y,3495,Good (Good To Soft In Places),Hill Station,6,82,-364.73,-378.72,-382.84,232.91,352.54,119.63,7.53,22,9.46,6,2.91,2,bad_or_implausible_winning_time_or_configuration
856826,2025-05-11,Plumpton,1m 7f 195y,3495,Good (Good To Soft In Places),Lusso Milan,5,84,-355.23,-369.22,-373.34,232.91,352.54,119.63,7.53,22,9.46,6,2.91,2,bad_or_implausible_winning_time_or_configuration
856826,2025-05-11,Plumpton,1m 7f 195y,3495,Good (Good To Soft In Places),Legendary Day,4,100,-351.23,-365.22,-369.34,232.91,352.54,119.63,7.53,22,9.46,6,2.91,2,bad_or_implausible_winning_time_or_configuration
856826,2025-05-11,Plumpton,1m 7f 195y,3495,Good (Good To Soft In Places),Prince Quattro,3,100,-346.48,-360.47,-364.59,232.91,352.54,119.63,7.53,22,9.46,6,2.91,2,bad_or_implausible_winning_time_or_configuration
856826,2025-05-11,Plumpton,1m 7f 195y,3495,Good (Good To Soft In Places),Goodwin Face,2,93,-345.23,-359.22,-363.34,232.91,352.54,119.63,7.53,22,9.46,6,2.91,2,bad_or_implausible_winning_time_or_configuration
856826,2025-05-11,Plumpton,1m 7f 195y,3495,Good (Good To Soft In Places),Turpin Gold,1,86,-344.73,-358.72,-362.84,232.91,352.54,119.63,7.53,22,9.46,6,2.91,2,bad_or_implausible_winning_time_or_configuration
836815,2025-01-01,Southwell,2m 4f 88y,4488,Soft (Heavy in places),Kalista Love,5,101,-252.09,-182.68,-178.67,319.13,398.54,79.41,3.89,33,11.08,6,1.23,4,bad_or_implausible_winning_time_or_configuration
836815,2025-01-01,Southwell,2m 4f 88y,4488,Soft (Heavy in places),Uokhun,4,100,-251.59,-182.18,-178.17,319.13,398.54,79.41,3.89,33,11.08,6,1.23,4,bad_or_implausible_winning_time_or_configuration
836815,2025-01-01,Southwell,2m 4f 88y,4488,Soft (Heavy in places),Eileen's Orders,3,101,-247.84,-178.43,-174.42,319.13,398.54,79.41,3.89,33,11.08,6,1.23,4,bad_or_implausible_winning_time_or_configuration
887959,2025-11-05,Chepstow,2m 16y,3536,Good to Soft,Dalcassian Girl,13,,-247.69,-180.74,-236.35,253.27,256.40,3.13,0.19,11,12.32,7,0.44,221,unknown_or_subtype_mixing_possible
836815,2025-01-01,Southwell,2m 4f 88y,4488,Soft (Heavy in places),Sunset Hill,2,114,-239.34,-169.93,-165.92,319.13,398.54,79.41,3.89,33,11.08,6,1.23,4,bad_or_implausible_winning_time_or_configuration
836815,2025-01-01,Southwell,2m 4f 88y,4488,Soft (Heavy in places),All The Glory,1,127,-235.34,-165.93,-161.92,319.13,398.54,79.41,3.89,33,11.08,6,1.23,4,bad_or_implausible_winning_time_or_configuration
891843,2025-11-29,Doncaster,2m 128y,3648,Soft,The Procrastinator,1,,428.50,470.87,493.35,240.61,194.02,-46.59,-2.81,17,7.78,6,1.26,218,bad_or_implausible_winning_time_or_configuration
891843,2025-11-29,Doncaster,2m 128y,3648,Soft,Ashburton,2,,427.50,469.87,492.35,240.61,194.02,-46.59,-2.81,17,7.78,6,1.26,218,bad_or_implausible_winning_time_or_configuration
891843,2025-11-29,Doncaster,2m 128y,3648,Soft,Luna Grace,3,,422.75,465.12,487.60,240.61,194.02,-46.59,-2.81,17,7.78,6,1.26,218,bad_or_implausible_winning_time_or_configuration
891843,2025-11-29,Doncaster,2m 128y,3648,Soft,Capla Resdev,4,,411.75,454.12,476.60,240.61,194.02,-46.59,-2.81,17,7.78,6,1.26,218,bad_or_implausible_winning_time_or_configuration
891843,2025-11-29,Doncaster,2m 128y,3648,Soft,Mariah's Dream,5,,410.00,452.37,474.85,240.61,194.02,-46.59,-2.81,17,7.78,6,1.26,218,bad_or_implausible_winning_time_or_configuration
840232,2025-01-23,Wetherby,3m 26y,5306,Soft,Adveram,8,100,-203.25,-89.52,-138.54,361.35,417.90,56.55,2.34,9,22.83,6,0.71,60,high_dispersion_standard
840232,2025-01-23,Wetherby,3m 26y,5306,Soft,Snowrocco,7,96,-202.50,-88.77,-137.79,361.35,417.90,56.55,2.34,9,22.83,6,0.71,60,high_dispersion_standard
841726,2025-01-30,Wincanton,2m 5f 82y,4702,Heavy,Damekap,7,,-200.86,-94.19,-67.60,310.06,350.10,40.04,1.87,5,18.45,7,0.35,8,bad_or_implausible_winning_time_or_configuration
891843,2025-11-29,Doncaster,2m 128y,3648,Soft,The Lakes,6,,400.50,442.87,465.35,240.61,194.02,-46.59,-2.81,17,7.78,6,1.26,218,bad_or_implausible_winning_time_or_configuration
