course,country,distance,distance_yards,surface,races,valid_times,median_seconds,stdev_seconds,stdev_per_furlong
Ascot,ENG,5f,1100,TURF,18,18,59.610,1.583,0.317
Ascot,ENG,6f,1320,TURF,28,28,73.265,1.777,0.296
Ascot,ENG,7f,1540,TURF,21,21,87.390,2.409,0.344
Ascot,ENG,7f 213y,1753,TURF,12,12,100.345,2.640,0.331
Ascot,ENG,1m,1760,TURF,20,20,99.375,2.385,0.298
Ascot,ENG,1m 1f 212y,2192,TURF,10,10,127.185,2.805,0.282
Ascot,ENG,1m 3f 211y,2631,TURF,20,20,152.725,2.803,0.234
Ascot,ENG,1m 6f 34y,3114,TURF,3,3,184.630,4.915,0.347
Ascot,ENG,1m 7f 209y,3509,TURF,10,10,210.195,5.885,0.369
Ayr,Scot,5f,1100,TURF,23,23,59.170,1.531,0.306
Ayr,Scot,5f 110y,1210,TURF,2,2,66.680,0.014,0.003
Ayr,Scot,6f,1320,TURF,46,46,72.380,1.854,0.309
Ayr,Scot,7f 50y,1590,TURF,43,43,91.240,2.571,0.356
Ayr,Scot,1m,1760,TURF,35,35,101.860,3.401,0.425
Ayr,Scot,1m 1f 20y,2000,TURF,2,2,113.900,0.806,0.089
Ayr,Scot,1m 2f,2200,TURF,34,34,130.080,3.833,0.383
Ayr,Scot,1m 5f 26y,2886,TURF,12,12,177.505,5.178,0.395
Ayr,Scot,1m 7f,3300,TURF,4,4,206.115,6.311,0.421
Ballinrobe,Eire,1m 1f 133y,2113,TURF,6,6,128.580,1.615,0.168
Ballinrobe,Eire,1m 1f 135y,2115,TURF,8,8,126.945,1.711,0.178
Ballinrobe,Eire,1m 1f 138y,2118,TURF,5,5,129.490,0.782,0.081
Ballinrobe,Eire,1m 1f 163y,2143,TURF,10,10,129.345,1.821,0.187
Ballinrobe,Eire,1m 4f 179y,2819,TURF,3,3,172.880,1.602,0.125
Ballinrobe,Eire,1m 4f 183y,2823,TURF,2,2,177.190,1.471,0.115
Ballinrobe,Eire,1m 4f 184y,2824,TURF,3,3,178.940,1.061,0.083
Ballinrobe,Eire,1m 4f 202y,2842,TURF,2,2,177.950,4.172,0.323
Ballinrobe,Eire,1m 5f,2860,TURF,2,2,179.490,0.071,0.005
Ballinrobe,Eire,1m 5f 9y,2869,TURF,2,2,176.760,0.537,0.041
Bath,ENG,5f 10y,1110,TURF,42,42,61.845,1.745,0.346
Bath,ENG,5f 160y,1260,TURF,62,62,70.840,1.331,0.232
Bath,ENG,1m,1760,TURF,64,64,101.005,2.833,0.354
Bath,ENG,1m 2f 37y,2237,TURF,26,26,130.095,2.339,0.230
Bath,ENG,1m 3f 137y,2557,TURF,16,16,149.090,6.941,0.597
Bath,ENG,1m 5f 11y,2871,TURF,2,2,170.775,0.304,0.023
Bath,ENG,1m 6f,3080,TURF,10,10,184.295,4.825,0.345
Bath,ENG,2m 1f 24y,3764,TURF,6,6,234.800,7.622,0.445
Bellewstown,Eire,5f 3y,1103,TURF,18,18,60.125,2.150,0.429
Bellewstown,Eire,7f 195y,1735,TURF,19,19,101.180,2.335,0.296
