range,scale,variant_mode,eligible_runners,median,p10,p90,outside_0_200,median_abs_or_diff,or_correlation
2025,current_length,base,32384,93.931,68.032,111.201,173,25.109,0.144
2025,current_length,going_band,28486,94.492,76.056,109.399,43,25.066,0.207
2025,current_length,daily_median,29616,94.168,76.515,107.047,65,24.868,0.189
2025,current_length,daily_trimmed,29616,94.665,77.351,107.243,64,25.271,0.202
2025,current_length,hierarchical,32384,94.066,75.227,107.446,83,24.938,0.156
2025,sec_per_f,base,32384,95.231,75.900,108.158,21,24.933,0.156
2025,sec_per_f,going_band,28486,95.605,81.685,107.061,16,25.649,0.223
2025,sec_per_f,daily_median,29616,95.415,82.618,105.231,12,25.701,0.215
2025,sec_per_f,daily_trimmed,29616,95.777,83.117,105.342,11,25.912,0.228
2025,sec_per_f,hierarchical,32384,95.324,81.812,105.544,14,25.596,0.172
2025,pct_time,base,32384,89.777,48.621,117.274,514,25.367,0.157
2025,pct_time,going_band,28486,90.545,60.606,115.016,146,23.752,0.224
2025,pct_time,daily_median,29616,90.153,63.040,111.075,132,23.321,0.217
2025,pct_time,daily_trimmed,29616,90.961,63.918,111.310,126,23.647,0.230
2025,pct_time,hierarchical,32384,89.963,61.077,111.710,221,23.659,0.173
2026_holdout,current_length,base,23948,95.979,73.273,112.644,42,27.167,0.092
2026_holdout,current_length,going_band,21711,94.810,75.711,109.680,22,25.813,0.191
2026_holdout,current_length,daily_median,22163,94.091,77.566,106.904,27,25.076,0.204
2026_holdout,current_length,daily_trimmed,22163,94.569,78.054,107.140,25,25.240,0.204
2026_holdout,current_length,hierarchical,23948,94.266,77.546,107.436,30,25.323,0.177
2026_holdout,sec_per_f,base,23948,96.756,79.413,109.400,5,26.677,0.100
2026_holdout,sec_per_f,going_band,21711,95.883,81.314,107.401,4,26.065,0.192
2026_holdout,sec_per_f,daily_median,22163,95.347,83.005,105.093,6,25.624,0.226
2026_holdout,sec_per_f,daily_trimmed,22163,95.697,83.408,105.268,6,25.815,0.225
2026_holdout,sec_per_f,hierarchical,23948,95.485,82.900,105.512,7,25.864,0.192
2026_holdout,pct_time,base,23948,93.051,56.067,119.998,171,28.136,0.101
2026_holdout,pct_time,going_band,21711,91.184,59.992,115.824,98,25.291,0.193
2026_holdout,pct_time,daily_median,22163,90.038,63.349,110.762,75,23.492,0.228
2026_holdout,pct_time,daily_trimmed,22163,90.740,64.326,111.179,71,23.844,0.226
2026_holdout,pct_time,hierarchical,23948,90.291,63.110,111.717,94,23.875,0.193
