race_source_id,date,course,subtype,horse,finish_position,or,current_base,current_same_day,sec_per_f,sec_per_f_same_day,pct,pct_same_day,race_name
836811,2025-01-01,Southwell,chase,Bold Reaction,3,109,-12.46,-,47.21,-,47.95,-,Jordan Road Surfacing Novices' Handicap Chase (GBB Race)
834740,2025-01-01,Cheltenham,chase,Tedley,3,129,-17.64,61.66,46.93,82.71,46.02,83.45,Sonic The Hedgehog 3 In Cinemas Now Novices' Limited Handicap Chase (GBB Race)
837296,2025-01-01,Exeter,chase,Bampton Star,3,100,-0.46,110.78,68.85,103.34,69.79,103.06,Happy New Year From Greendale Farm Conditional Jockeys' Handicap Chase
837296,2025-01-01,Exeter,chase,Simple Getaway,4,104,-8.96,102.28,66.21,100.71,67.24,100.65,Happy New Year From Greendale Farm Conditional Jockeys' Handicap Chase
836812,2025-01-01,Southwell,chase,Faitque De L'Isle,4,77,-0.95,-,67.51,-,69.52,-,Jordan Recycling Innovation Handicap Chase
836772,2025-01-01,Musselburgh,hurdle,Cracker Star,3,,-3.49,76.69,52.41,89.28,50.24,89.50,Henry Bocian Juvenile Hurdle (GBB Race)
836772,2025-01-01,Musselburgh,hurdle,Snow Dragon,4,,-5.99,74.19,51.26,88.13,49.04,88.37,Henry Bocian Juvenile Hurdle (GBB Race)
836772,2025-01-01,Musselburgh,hurdle,Spartan Warrior,5,105,-11.99,68.19,48.50,85.37,46.16,85.67,Henry Bocian Juvenile Hurdle (GBB Race)
836772,2025-01-01,Musselburgh,hurdle,Platin Moon,6,,-13.74,66.44,47.69,84.57,45.32,84.88,Henry Bocian Juvenile Hurdle (GBB Race)
836772,2025-01-01,Musselburgh,hurdle,Miaswell,7,,-32.74,47.44,38.95,75.83,36.18,76.32,Henry Bocian Juvenile Hurdle (GBB Race)
836800,2025-01-01,Fakenham,hurdle,Berkshire Lad,6,,-24.93,-,42.45,-,42.12,-,Book Your Skip Online At fakenhamskips.co.uk Maiden Hurdle (GBB Race)
836800,2025-01-01,Fakenham,hurdle,Aughnagomaun,7,,-33.93,-,38.30,-,37.95,-,Book Your Skip Online At fakenhamskips.co.uk Maiden Hurdle (GBB Race)
834741,2025-01-01,Cheltenham,hurdle,Pierrot Jaguen,3,,-3.63,99.84,63.23,99.94,62.13,99.95,Richmond Villages And Bupa Care Homes Maiden Hurdle (GBB Race)
834741,2025-01-01,Cheltenham,hurdle,Mount Gay Run,4,,-13.13,90.34,59.86,96.57,58.65,96.69,Richmond Villages And Bupa Care Homes Maiden Hurdle (GBB Race)
834741,2025-01-01,Cheltenham,hurdle,Night Duty,5,109,-20.13,83.34,57.37,94.09,56.10,94.29,Richmond Villages And Bupa Care Homes Maiden Hurdle (GBB Race)
836805,2025-01-01,Exeter,chase,Western General,5,119,-6.55,81.92,58.46,92.95,59.17,93.46,Passage House Inn Novices' Handicap Chase (GBB Race)
836813,2025-01-01,Southwell,chase,Stringtoyourbow,2,113,-24.67,-,53.78,-,54.97,-,Jordan Road Planning Handicap Chase
836773,2025-01-01,Musselburgh,chase,Okavango Delta,1,100,-16.82,82.07,56.44,93.32,56.87,93.78,Virgin Bet Daily Price Boosts Novices' Handicap Chase
836773,2025-01-01,Musselburgh,chase,Divas Doyen,2,85,-23.32,75.57,54.02,90.89,54.47,91.52,Virgin Bet Daily Price Boosts Novices' Handicap Chase
836773,2025-01-01,Musselburgh,chase,Winds Of Winter,3,88,-27.32,71.57,52.52,89.40,52.99,90.13,Virgin Bet Daily Price Boosts Novices' Handicap Chase
836773,2025-01-01,Musselburgh,chase,Benefit Ben,4,95,-45.32,53.57,45.81,82.69,46.35,83.88,Virgin Bet Daily Price Boosts Novices' Handicap Chase
836773,2025-01-01,Musselburgh,chase,Prospect House,5,77,-45.52,53.37,45.74,82.61,46.27,83.81,Virgin Bet Daily Price Boosts Novices' Handicap Chase
836773,2025-01-01,Musselburgh,chase,Valleyview Tommy,6,88,-70.52,28.37,36.41,73.29,37.04,75.13,Virgin Bet Daily Price Boosts Novices' Handicap Chase
836801,2025-01-01,Fakenham,hurdle,Malago Rose,1,94,-89.52,-,36.24,-,37.45,-,Betting Better With Sky Bet Mares' Novices' Limited Handicap Hurdle
836801,2025-01-01,Fakenham,hurdle,Lady's Present,2,80,-102.52,-,31.86,-,33.16,-,Betting Better With Sky Bet Mares' Novices' Limited Handicap Hurdle
836801,2025-01-01,Fakenham,hurdle,Regally Blonde,3,79,-112.52,-,28.50,-,29.86,-,Betting Better With Sky Bet Mares' Novices' Limited Handicap Hurdle
836801,2025-01-01,Fakenham,hurdle,Extra Cover,4,79,-113.02,-,28.33,-,29.69,-,Betting Better With Sky Bet Mares' Novices' Limited Handicap Hurdle
836801,2025-01-01,Fakenham,hurdle,Hurst Hill,5,91,-126.02,-,23.96,-,25.40,-,Betting Better With Sky Bet Mares' Novices' Limited Handicap Hurdle
834742,2025-01-01,Cheltenham,chase,Chantry House,1,149,-20.02,98.55,63.53,99.56,64.82,99.60,Betfair Handicap Chase (GBB Race)
834742,2025-01-01,Cheltenham,chase,Our Power,2,144,-26.52,92.05,61.56,97.58,62.92,97.80,Betfair Handicap Chase (GBB Race)
834742,2025-01-01,Cheltenham,chase,Bowtogreatness,3,132,-30.52,88.05,60.34,96.37,61.75,96.70,Betfair Handicap Chase (GBB Race)
834742,2025-01-01,Cheltenham,chase,Broadway Boy,4,150,-38.52,80.05,57.91,93.94,59.40,94.48,Betfair Handicap Chase (GBB Race)
834742,2025-01-01,Cheltenham,chase,Cloudy Glen,5,145,-58.52,60.05,51.84,87.86,53.54,88.96,Betfair Handicap Chase (GBB Race)
836806,2025-01-01,Exeter,hurdle,Gentleman Jacques,2,98,-4.08,96.84,64.43,98.92,64.68,98.99,Peter Holland Memorial Handicap Hurdle (Div 1)
836806,2025-01-01,Exeter,hurdle,Chauffeur Driven,3,94,-10.08,90.84,62.38,96.87,62.64,97.07,Peter Holland Memorial Handicap Hurdle (Div 1)
836806,2025-01-01,Exeter,hurdle,Mutley Crew,4,85,-10.58,90.34,62.20,96.70,62.47,96.91,Peter Holland Memorial Handicap Hurdle (Div 1)
836806,2025-01-01,Exeter,hurdle,Can't Say,5,101,-22.58,78.34,58.10,92.60,58.40,93.06,Peter Holland Memorial Handicap Hurdle (Div 1)
836806,2025-01-01,Exeter,hurdle,Inspector Lynley,6,81,-26.58,74.34,56.74,91.23,57.05,91.78,Peter Holland Memorial Handicap Hurdle (Div 1)
836806,2025-01-01,Exeter,hurdle,Sheeka Supreme,7,86,-29.33,71.59,55.80,90.29,56.11,90.90,Peter Holland Memorial Handicap Hurdle (Div 1)
836806,2025-01-01,Exeter,hurdle,Eileen's Milan,8,104,-38.33,62.59,52.72,87.21,53.06,88.02,Peter Holland Memorial Handicap Hurdle (Div 1)
836806,2025-01-01,Exeter,hurdle,Caitlin's Court,9,80,-45.33,55.59,50.33,84.82,50.68,85.78,Peter Holland Memorial Handicap Hurdle (Div 1)
836814,2025-01-01,Southwell,hurdle,Moon Rocket,1,,-18.53,-,61.41,-,63.79,-,Jordan Volumix Concrete Novices' Hurdle (GBB Race)
836814,2025-01-01,Southwell,hurdle,Just A Memory,2,,-26.53,-,58.81,-,61.35,-,Jordan Volumix Concrete Novices' Hurdle (GBB Race)
836814,2025-01-01,Southwell,hurdle,Silver Thorn,3,,-36.03,-,55.72,-,58.45,-,Jordan Volumix Concrete Novices' Hurdle (GBB Race)
836814,2025-01-01,Southwell,hurdle,Superior Glance,4,,-43.53,-,53.27,-,56.16,-,Jordan Volumix Concrete Novices' Hurdle (GBB Race)
836814,2025-01-01,Southwell,hurdle,Socialiser,5,,-47.78,-,51.89,-,54.86,-,Jordan Volumix Concrete Novices' Hurdle (GBB Race)
836774,2025-01-01,Musselburgh,hurdle,Bold Light,1,116,-13.68,83.22,56.74,93.61,56.90,94.02,LiveScore Bet Best Odds Daily Hogmaneigh Handicap Hurdle (GBB Race)
836774,2025-01-01,Musselburgh,hurdle,Ballygeary,2,120,-20.68,76.22,54.07,90.95,54.25,91.53,LiveScore Bet Best Odds Daily Hogmaneigh Handicap Hurdle (GBB Race)
836774,2025-01-01,Musselburgh,hurdle,Liari,3,129,-23.93,72.97,52.84,89.71,53.02,90.37,LiveScore Bet Best Odds Daily Hogmaneigh Handicap Hurdle (GBB Race)
836774,2025-01-01,Musselburgh,hurdle,Sweet Fantasy,4,128,-24.43,72.47,52.65,89.52,52.83,90.19,LiveScore Bet Best Odds Daily Hogmaneigh Handicap Hurdle (GBB Race)
836802,2025-01-01,Fakenham,chase,Boleyn Boy,4,89,-10.92,-,59.73,-,61.57,-,Racing TV Novices' Handicap Chase
836802,2025-01-01,Fakenham,chase,Fromposttopillar,5,70,-13.17,-,58.92,-,60.79,-,Racing TV Novices' Handicap Chase
836802,2025-01-01,Fakenham,chase,Hardy Buck,6,95,-15.42,-,58.10,-,60.01,-,Racing TV Novices' Handicap Chase
834739,2025-01-01,Cheltenham,chase,Marble Sands,2,144,-6.87,95.55,61.69,98.40,61.55,98.50,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race)
834739,2025-01-01,Cheltenham,chase,Seddon,3,143,-9.62,92.80,60.70,97.42,60.57,97.57,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race)
834739,2025-01-01,Cheltenham,chase,Lounge Lizard,4,135,-19.12,83.30,57.30,94.01,57.15,94.35,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race)
834739,2025-01-01,Cheltenham,chase,Midnight River,5,148,-21.37,81.05,56.49,93.21,56.34,93.59,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race)
834739,2025-01-01,Cheltenham,chase,Gemirande,6,144,-56.37,46.05,43.94,80.66,43.75,81.76,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race)
836807,2025-01-01,Exeter,hurdle,Looking For Larry,1,99,-12.58,84.09,60.95,94.48,61.23,94.82,Peter Holland Memorial Handicap Hurdle (Div 2)
836807,2025-01-01,Exeter,hurdle,William Philo,2,85,-18.58,78.09,58.87,92.40,59.17,92.87,Peter Holland Memorial Handicap Hurdle (Div 2)
836807,2025-01-01,Exeter,hurdle,Drash On Ruby,3,94,-21.58,75.09,57.83,91.36,58.13,91.89,Peter Holland Memorial Handicap Hurdle (Div 2)
836807,2025-01-01,Exeter,hurdle,Saint Cyr De Pail,4,103,-23.08,73.59,57.31,90.84,57.62,91.40,Peter Holland Memorial Handicap Hurdle (Div 2)
836807,2025-01-01,Exeter,hurdle,Blackhillsofdakota,5,91,-52.08,44.59,47.25,80.78,47.63,81.96,Peter Holland Memorial Handicap Hurdle (Div 2)
836807,2025-01-01,Exeter,hurdle,Paddys Island,6,101,-54.33,42.34,46.47,80.00,46.86,81.23,Peter Holland Memorial Handicap Hurdle (Div 2)
836807,2025-01-01,Exeter,hurdle,Instant De Bonheur,7,84,-64.33,32.34,43.01,76.53,43.41,77.98,Peter Holland Memorial Handicap Hurdle (Div 2)
836807,2025-01-01,Exeter,hurdle,Of Corse I Can,8,80,-72.83,23.84,40.06,73.59,40.49,75.21,Peter Holland Memorial Handicap Hurdle (Div 2)
836807,2025-01-01,Exeter,hurdle,Thirtyfour Thirty,9,102,-75.33,21.34,39.19,72.72,39.63,74.39,Peter Holland Memorial Handicap Hurdle (Div 2)
836815,2025-01-01,Southwell,hurdle,All The Glory,1,127,-235.34,-,-46.98,-,-43.20,-,Jordan Recycling Environmental Mares' Handicap Hurdle
836815,2025-01-01,Southwell,hurdle,Sunset Hill,2,114,-239.34,-,-48.73,-,-44.91,-,Jordan Recycling Environmental Mares' Handicap Hurdle
836815,2025-01-01,Southwell,hurdle,Eileen's Orders,3,101,-247.84,-,-52.46,-,-48.54,-,Jordan Recycling Environmental Mares' Handicap Hurdle
836815,2025-01-01,Southwell,hurdle,Uokhun,4,100,-251.59,-,-54.10,-,-50.14,-,Jordan Recycling Environmental Mares' Handicap Hurdle
836815,2025-01-01,Southwell,hurdle,Kalista Love,5,101,-252.09,-,-54.32,-,-50.35,-,Jordan Recycling Environmental Mares' Handicap Hurdle
836775,2025-01-01,Musselburgh,chase,Beau Balko,2,129,-1.98,106.65,62.44,102.45,62.81,102.27,Virgin Bet Auld Reekie Handicap Chase (GBB Race)
836775,2025-01-01,Musselburgh,chase,Half Shot,3,119,-25.98,82.65,53.60,93.61,54.06,94.08,Virgin Bet Auld Reekie Handicap Chase (GBB Race)
836775,2025-01-01,Musselburgh,chase,Indian Louis,4,110,-28.73,79.90,52.59,92.60,53.06,93.14,Virgin Bet Auld Reekie Handicap Chase (GBB Race)
836775,2025-01-01,Musselburgh,chase,High Moon,5,111,-39.73,68.90,48.54,88.55,49.05,89.39,Virgin Bet Auld Reekie Handicap Chase (GBB Race)
836803,2025-01-01,Fakenham,hurdle,An Bradan Feasa,4,118,-39.29,-,49.34,-,50.37,-,Gamble Plant Norfolk Ltd Grand Prix Handicap Hurdle
834743,2025-01-01,Cheltenham,hurdle,Strackan,1,117,-25.61,91.49,61.62,97.40,60.96,97.51,Best Odds On The Betfair Exchange Handicap Hurdle (GBB Race)
834743,2025-01-01,Cheltenham,hurdle,Idefix De Ciergues,2,116,-27.86,89.24,60.94,96.71,60.26,96.85,Best Odds On The Betfair Exchange Handicap Hurdle (GBB Race)
834743,2025-01-01,Cheltenham,hurdle,What A Johnny,3,119,-29.11,87.99,60.55,96.33,59.87,96.49,Best Odds On The Betfair Exchange Handicap Hurdle (GBB Race)
834743,2025-01-01,Cheltenham,hurdle,One Big Bang,4,127,-29.61,87.49,60.40,96.18,59.72,96.34,Best Odds On The Betfair Exchange Handicap Hurdle (GBB Race)
834743,2025-01-01,Cheltenham,hurdle,Deep Cave,5,130,-32.86,84.24,59.41,95.18,58.71,95.39,Best Odds On The Betfair Exchange Handicap Hurdle (GBB Race)
834743,2025-01-01,Cheltenham,hurdle,Catch Him Derry,6,124,-34.36,82.74,58.95,94.73,58.24,94.95,Best Odds On The Betfair Exchange Handicap Hurdle (GBB Race)
