subtype,scale,method,runners,or_count,pearson_or,spearman_or,median_abs_diff_or,mean_abs_diff_or,mean,median,stdev,p01,p99,below_0,above_200,outside_0_200
hurdle,current,base,14555,10557,0.13,0.13,41.13,51.96,77.66,81.94,63.48,-91.24,222.86,1542,306,1848
hurdle,current,same_day,8939,6539,0.18,0.17,24.36,29.38,80.81,82.75,31.37,-3.45,147.84,107,0,107
hurdle,sec_per_f,base,14555,10557,0.13,0.13,18.66,22.40,91.01,93.26,23.79,27.15,140.22,20,0,20
hurdle,sec_per_f,same_day,8939,6539,0.18,0.18,13.53,16.30,92.90,93.70,11.40,61.44,116.82,0,0,0
hurdle,pct_time,base,14555,10557,0.13,0.13,18.71,22.51,90.80,93.13,24.05,27.18,140.23,23,0,23
hurdle,pct_time,same_day,8939,6539,0.18,0.18,13.66,16.39,92.72,93.63,11.63,60.36,116.86,0,0,0
chase,current,base,6653,6590,0.14,0.13,44.15,54.47,82.03,83.48,63.72,-81.40,226.07,675,163,838
chase,current,same_day,4252,4204,0.15,0.15,30.98,36.20,82.88,83.77,33.80,-2.92,157.33,50,0,50
chase,sec_per_f,base,6653,6590,0.14,0.13,21.46,25.53,93.32,94.28,21.96,36.44,140.62,1,0,1
chase,sec_per_f,same_day,4252,4204,0.16,0.16,18.01,21.41,94.09,94.40,11.29,65.71,117.50,0,0,0
chase,pct_time,base,6653,6590,0.14,0.13,21.24,25.31,93.32,94.37,21.51,37.66,138.40,2,0,2
chase,pct_time,same_day,4252,4204,0.15,0.15,18.04,21.37,94.11,94.50,11.15,65.53,116.93,0,0,0
nh_flat,current,base,2066,60,0.05,0.15,26.37,34.64,83.67,87.12,62.48,-78.76,232.30,170,35,205
nh_flat,current,same_day,1196,57,-0.05,-0.10,30.57,32.61,85.42,90.38,33.18,-24.15,143.68,23,0,23
nh_flat,sec_per_f,base,2066,60,0.04,0.15,20.29,20.05,92.33,94.61,25.96,23.28,151.59,6,5,11
nh_flat,sec_per_f,same_day,1196,57,-0.06,-0.12,19.26,20.81,93.83,96.04,13.87,48.77,118.34,0,0,0
nh_flat,pct_time,base,2066,60,0.05,0.15,20.41,20.30,92.07,94.43,26.53,22.16,150.44,6,6,12
nh_flat,pct_time,same_day,1196,57,-0.06,-0.13,19.28,21.11,93.66,95.93,14.17,47.48,118.42,0,0,0
unknown_other,current,base,50,23,0.46,0.46,9.84,13.24,90.57,92.50,10.09,67.25,107.14,0,0,0
unknown_other,current,same_day,50,23,0.35,0.26,12.36,15.43,92.97,94.80,12.41,61.81,111.63,0,0,0
unknown_other,sec_per_f,base,50,23,0.52,0.47,11.55,15.05,93.14,93.60,6.99,80.74,106.24,0,0,0
unknown_other,sec_per_f,same_day,50,23,0.33,0.25,11.42,15.35,95.45,95.44,7.97,79.90,110.07,0,0,0
unknown_other,pct_time,base,50,23,0.52,0.46,10.63,14.49,91.96,92.32,8.27,76.90,107.52,0,0,0
unknown_other,pct_time,same_day,50,23,0.31,0.23,10.50,14.80,94.53,94.48,9.34,75.88,111.35,0,0,0
overall,current,base,23324,17230,0.13,0.12,42.08,52.80,79.46,82.99,63.44,-85.76,225.80,2387,504,2891
overall,current,same_day,14437,10823,0.16,0.16,26.65,32.01,81.84,83.90,32.25,-4.32,151.51,180,0,180
overall,sec_per_f,base,23324,17230,0.13,0.13,19.68,23.58,91.79,93.73,23.49,29.79,141.18,27,5,32
overall,sec_per_f,same_day,14437,10823,0.17,0.17,15.11,18.30,93.33,94.14,11.59,61.31,117.19,0,0,0
overall,pct_time,base,23324,17230,0.13,0.12,19.65,23.57,91.63,93.70,23.59,29.44,140.53,31,6,37
overall,pct_time,same_day,14437,10823,0.17,0.16,15.14,18.35,93.21,94.09,11.73,60.71,117.02,0,0,0
