race_source_id,date,course,race_type,subtype,distance,distance_yards,horse,finish_position,or,pooled_rating,subtype_rating,subtype_same_day_rating,subtype_historical_rating,pooled_standard,subtype_standard,pooled_sample,subtype_sample
856826,2025-05-11,Plumpton,handicap,hurdle,1m 7f 195y,3495,Hill Station,6,82,-364.73,-364.73,-,-382.84,232.91,232.91,22,22
856826,2025-05-11,Plumpton,handicap,hurdle,1m 7f 195y,3495,Lusso Milan,5,84,-355.23,-355.23,-,-373.34,232.91,232.91,22,22
856826,2025-05-11,Plumpton,handicap,hurdle,1m 7f 195y,3495,Legendary Day,4,100,-351.23,-351.23,-,-369.34,232.91,232.91,22,22
856826,2025-05-11,Plumpton,handicap,hurdle,1m 7f 195y,3495,Prince Quattro,3,100,-346.48,-346.48,-,-364.59,232.91,232.91,22,22
856826,2025-05-11,Plumpton,handicap,hurdle,1m 7f 195y,3495,Goodwin Face,2,93,-345.23,-345.23,-,-363.34,232.91,232.91,22,22
856826,2025-05-11,Plumpton,handicap,hurdle,1m 7f 195y,3495,Turpin Gold,1,86,-344.73,-344.73,-,-362.84,232.91,232.91,22,22
836815,2025-01-01,Southwell,handicap,hurdle,2m 4f 88y,4488,Kalista Love,5,101,-252.09,-255.39,-,-181.96,319.13,318.35,33,23
836815,2025-01-01,Southwell,handicap,hurdle,2m 4f 88y,4488,Uokhun,4,100,-251.59,-254.89,-,-181.46,319.13,318.35,33,23
836815,2025-01-01,Southwell,handicap,hurdle,2m 4f 88y,4488,Eileen's Orders,3,101,-247.84,-251.14,-,-177.71,319.13,318.35,33,23
887959,2025-11-05,Chepstow,,nh_flat,2m 16y,3536,Dalcassian Girl,13,,-247.69,-261.99,-,-250.64,253.27,250.50,11,2
836815,2025-01-01,Southwell,handicap,hurdle,2m 4f 88y,4488,Sunset Hill,2,114,-239.34,-242.64,-,-169.21,319.13,318.35,33,23
836815,2025-01-01,Southwell,handicap,hurdle,2m 4f 88y,4488,All The Glory,1,127,-235.34,-238.64,-,-165.21,319.13,318.35,33,23
891843,2025-11-29,Doncaster,,nh_flat,2m 128y,3648,The Procrastinator,1,,428.50,415.74,-,480.59,240.61,238.80,17,3
891843,2025-11-29,Doncaster,,nh_flat,2m 128y,3648,Ashburton,2,,427.50,414.74,-,479.59,240.61,238.80,17,3
891843,2025-11-29,Doncaster,,nh_flat,2m 128y,3648,Luna Grace,3,,422.75,409.99,-,474.84,240.61,238.80,17,3
891843,2025-11-29,Doncaster,,nh_flat,2m 128y,3648,Capla Resdev,4,,411.75,398.99,-,463.84,240.61,238.80,17,3
891843,2025-11-29,Doncaster,,nh_flat,2m 128y,3648,Mariah's Dream,5,,410.00,397.24,-,462.09,240.61,238.80,17,3
840232,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Adveram,8,100,-203.25,-203.25,-,-138.54,361.35,361.35,9,9
840232,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Snowrocco,7,96,-202.50,-202.50,-,-137.79,361.35,361.35,9,9
841726,2025-01-30,Wincanton,novice,hurdle,2m 5f 82y,4702,Damekap,7,,-200.86,-200.86,-,-67.60,310.06,310.06,5,5
891843,2025-11-29,Doncaster,,nh_flat,2m 128y,3648,The Lakes,6,,400.50,387.74,-,452.59,240.61,238.80,17,3
885397,2025-10-21,Perth,handicap,hurdle,2m 7f 207y,5267,Champ Royal,9,112,-192.77,-192.77,-,-127.45,364.17,364.17,12,12
887959,2025-11-05,Chepstow,,nh_flat,2m 16y,3536,Ellenborough Park,12,,-192.69,-206.99,-,-195.64,253.27,250.50,11,2
891843,2025-11-29,Doncaster,,nh_flat,2m 128y,3648,Antheia,7,,392.00,379.24,-,444.09,240.61,238.80,17,3
885397,2025-10-21,Perth,handicap,hurdle,2m 7f 207y,5267,Shoeshine Boy,8,101,-191.02,-191.02,-,-125.70,364.17,364.17,12,12
840232,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Ballydangan,6,85,-190.50,-190.50,-,-125.79,361.35,361.35,9,9
840232,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Dexperado,5,91,-189.50,-189.50,-,-124.79,361.35,361.35,9,9
885397,2025-10-21,Perth,handicap,hurdle,2m 7f 207y,5267,Blakey Boy,7,102,-189.02,-189.02,-,-123.70,364.17,364.17,12,12
840232,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,So Ladylike,4,77,-187.25,-187.25,-,-122.54,361.35,361.35,9,9
891843,2025-11-29,Doncaster,,nh_flat,2m 128y,3648,Frenati,8,,387.25,374.49,-,439.34,240.61,238.80,17,3
840231,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Walk My Way,7,69,-179.15,-179.15,-,-116.39,361.35,361.35,9,9
840232,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,The Questioner,3,93,-178.75,-178.75,-,-114.04,361.35,361.35,9,9
840231,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Lady's Present,6,79,-177.65,-177.65,-,-114.89,361.35,361.35,9,9
845371,2025-02-26,Bangor-on-Dee,handicap,chase,2m 4f 72y,4472,Ballybegg,3,115,-177.38,-177.38,-,-75.16,302.99,302.99,8,8
840232,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Take A Hike,2,79,-174.75,-174.75,-,-110.04,361.35,361.35,9,9
840231,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Entity Of Substanz,5,98,-174.15,-174.15,-,-111.39,361.35,361.35,9,9
885397,2025-10-21,Perth,handicap,hurdle,2m 7f 207y,5267,Maura Jeanne,6,94,-174.02,-174.02,-,-108.70,364.17,364.17,12,12
840231,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Glory Hights,4,92,-173.65,-173.65,-,-110.89,361.35,361.35,9,9
889940,2025-11-18,Kelso,handicap,hurdle,2m 51y,3571,Rafferty's Return,6,114,-172.48,-177.14,-,-136.06,240.88,239.85,24,17
840231,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Boolamore Classic,3,84,-170.90,-170.90,-,-108.14,361.35,361.35,9,9
840232,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Paddy O'Mahler,1,92,-169.25,-169.25,-,-104.54,361.35,361.35,9,9
845774,2025-02-28,Ffos Las,handicap,hurdle,2m 7f 191y,5251,Tillaway,5,96,-167.54,-167.54,-3.99,-39.83,365.08,365.08,9,9
885397,2025-10-21,Perth,handicap,hurdle,2m 7f 207y,5267,Dalileo,5,93,-167.02,-167.02,-,-101.70,364.17,364.17,12,12
845376,2025-02-26,Bangor-on-Dee,handicap,hurdle,2m 7f 32y,5092,Farmer Jimmy,5,98,-166.64,-166.64,-,-47.33,348.89,348.89,13,13
845774,2025-02-28,Ffos Las,handicap,hurdle,2m 7f 191y,5251,Edmond,4,90,-164.79,-164.79,-1.24,-37.08,365.08,365.08,9,9
885397,2025-10-21,Perth,handicap,hurdle,2m 7f 207y,5267,Stiletto,4,100,-163.77,-163.77,-,-98.45,364.17,364.17,12,12
885397,2025-10-21,Perth,handicap,hurdle,2m 7f 207y,5267,Coffeys Forge,3,100,-161.77,-161.77,-,-96.45,364.17,364.17,12,12
845773,2025-02-28,Ffos Las,maiden,hurdle,2m 4f,4400,Nil Vert,7,,-161.56,-161.56,-6.49,-53.20,303.58,303.58,26,26
840231,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,Wearelongterm,2,93,-159.90,-159.90,-,-97.14,361.35,361.35,9,9
845376,2025-02-26,Bangor-on-Dee,handicap,hurdle,2m 7f 32y,5092,Getaway With You,4,81,-159.64,-159.64,-,-40.33,348.89,348.89,13,13
889940,2025-11-18,Kelso,handicap,hurdle,2m 51y,3571,Dee's Getaway,5,103,-158.48,-163.14,-,-122.06,240.88,239.85,24,17
885397,2025-10-21,Perth,handicap,hurdle,2m 7f 207y,5267,I Wish You,2,111,-158.27,-158.27,-,-92.95,364.17,364.17,12,12
891843,2025-11-29,Doncaster,,nh_flat,2m 128y,3648,Emeralds Apart,9,,358.25,345.49,-,410.34,240.61,238.80,17,3
844852,2025-02-23,Fontwell,handicap,chase,3m 1f 210y,5710,Abbeyhill,4,78,-158.09,-158.09,-,-,406.70,406.70,13,13
885397,2025-10-21,Perth,handicap,hurdle,2m 7f 207y,5267,Spit Spot,1,110,-157.97,-157.97,-,-92.65,364.17,364.17,12,12
840231,2025-01-23,Wetherby,handicap,hurdle,3m 26y,5306,The Big Breac,1,90,-157.65,-157.65,-,-94.89,361.35,361.35,9,9
845376,2025-02-26,Bangor-on-Dee,handicap,hurdle,2m 7f 32y,5092,Superior Glance,3,93,-157.39,-157.39,-,-38.08,348.89,348.89,13,13
845376,2025-02-26,Bangor-on-Dee,handicap,hurdle,2m 7f 32y,5092,Goguenard,2,81,-156.64,-156.64,-,-37.33,348.89,348.89,13,13
896320,2025-12-31,Uttoxeter,handicap,hurdle,2m 7f 70y,5130,Kauto D'Amour,10,83,-156.58,-156.58,-47.52,-131.42,352.19,352.19,25,25
841650,2025-02-01,Sandown,,nh_flat,1m 7f 216y,3516,Recordator,7,,-154.28,-225.83,-,-144.89,255.03,240.68,16,2
889940,2025-11-18,Kelso,handicap,hurdle,2m 51y,3571,Travis Wheatley,4,104,-153.48,-158.14,-,-117.06,240.88,239.85,24,17
845376,2025-02-26,Bangor-on-Dee,handicap,hurdle,2m 7f 32y,5092,Henrysbrotherjack,1,90,-153.14,-153.14,-,-33.83,348.89,348.89,13,13
889940,2025-11-18,Kelso,handicap,hurdle,2m 51y,3571,Kingston Narcissus,3,114,-152.23,-156.89,-,-115.81,240.88,239.85,24,17
889940,2025-11-18,Kelso,handicap,hurdle,2m 51y,3571,Joltin N Jiving,2,120,-151.23,-155.89,-,-114.81,240.88,239.85,24,17
845773,2025-02-28,Ffos Las,maiden,hurdle,2m 4f,4400,Jack's Jury,6,,-148.56,-148.56,6.51,-40.20,303.58,303.58,26,26
844852,2025-02-23,Fontwell,handicap,chase,3m 1f 210y,5710,Dear Ralphy,3,100,-145.09,-145.09,-,-,406.70,406.70,13,13
889940,2025-11-18,Kelso,handicap,hurdle,2m 51y,3571,Magnolia,1,110,-143.73,-148.39,-,-107.31,240.88,239.85,24,17
844851,2025-02-23,Fontwell,handicap,hurdle,2m 5f 164y,4784,Military Tycoon,5,84,-143.05,-143.05,-,-47.53,329.30,329.30,19,19
896320,2025-12-31,Uttoxeter,handicap,hurdle,2m 7f 70y,5130,Elfride,9,68,-142.58,-142.58,-33.52,-117.42,352.19,352.19,25,25
843753,2025-02-15,Wincanton,handicap,hurdle,2m 5f 82y,4702,Kap De Triomphe,7,96,-141.48,-141.48,-,-112.97,310.06,310.06,5,5
865308,2025-06-29,Cartmel,handicap,chase,3m 1f 107y,5607,Community Rebel,8,94,-141.33,-141.33,-,-108.93,393.51,393.51,7,7
843753,2025-02-15,Wincanton,handicap,hurdle,2m 5f 82y,4702,Slide Rule,6,105,-140.23,-140.23,-,-111.72,310.06,310.06,5,5
842721,2025-02-09,Chepstow,handicap,hurdle,2m 7f 131y,5191,Sporty Jim,10,94,-140.02,-163.84,-53.62,-73.66,361.16,356.32,20,11
843753,2025-02-15,Wincanton,handicap,hurdle,2m 5f 82y,4702,Moor End,5,96,-139.23,-139.23,-,-110.72,310.06,310.06,5,5
843753,2025-02-15,Wincanton,handicap,hurdle,2m 5f 82y,4702,Tea And Chats,4,99,-138.73,-138.73,-,-110.22,310.06,310.06,5,5
893227,2025-12-10,Hexham,handicap,hurdle,2m 7f 63y,5123,Coventry,6,83,-138.34,-138.34,63.66,-26.88,373.06,373.06,11,11
845774,2025-02-28,Ffos Las,handicap,hurdle,2m 7f 191y,5251,Nedzor,3,89,-137.79,-137.79,25.76,-10.08,365.08,365.08,9,9
893227,2025-12-10,Hexham,handicap,hurdle,2m 7f 63y,5123,West Lawn,5,75,-137.34,-137.34,64.66,-25.88,373.06,373.06,11,11
843023,2025-02-11,Lingfield,handicap,hurdle,2m 7f,5060,Williamdeconqueror,3,79,-137.06,-137.06,-,-25.19,362.57,362.57,7,7
842721,2025-02-09,Chepstow,handicap,hurdle,2m 7f 131y,5191,William Philo,9,83,-136.77,-160.59,-50.37,-70.41,361.16,356.32,20,11
885236,2025-10-20,Plumpton,handicap,chase,3m 1f 157y,5657,Masterdream,3,107,-136.36,-136.36,-,-161.71,400.80,400.80,3,3
843753,2025-02-15,Wincanton,handicap,hurdle,2m 5f 82y,4702,Diesel Line,3,86,-136.23,-136.23,-,-107.72,310.06,310.06,5,5
845774,2025-02-28,Ffos Las,handicap,hurdle,2m 7f 191y,5251,Blackacre,2,79,-136.04,-136.04,27.51,-8.33,365.08,365.08,9,9
841726,2025-01-30,Wincanton,novice,hurdle,2m 5f 82y,4702,Ebselysees,6,,-135.86,-135.86,-,-2.60,310.06,310.06,5,5
841726,2025-01-30,Wincanton,novice,hurdle,2m 5f 82y,4702,Lyness Dancer,5,,-134.86,-134.86,-,-1.60,310.06,310.06,5,5
845189,2025-02-21,Warwick,handicap,hurdle,3m 2f,5720,Newtonian,11,80,-134.00,-134.00,-,-73.33,379.72,379.72,5,5
847053,2025-03-08,Ayr,,nh_flat,2m,3520,The Low Ball,10,,-133.42,-133.42,-68.73,-87.72,248.85,248.85,23,7
889604,2025-11-16,Fontwell,handicap,hurdle,2m 5f 164y,4784,Grey D'alco,11,81,-131.65,-131.65,-,-118.15,329.30,329.30,19,19
845371,2025-02-26,Bangor-on-Dee,handicap,chase,2m 4f 72y,4472,Imperial Alex,2,118,-131.38,-131.38,-,-29.16,302.99,302.99,8,8
841726,2025-01-30,Wincanton,novice,hurdle,2m 5f 82y,4702,Chique Angel,4,,-129.86,-129.86,-,3.40,310.06,310.06,5,5
844852,2025-02-23,Fontwell,handicap,chase,3m 1f 210y,5710,Jukebox D'eddy,2,73,-129.09,-129.09,-,-,406.70,406.70,13,13
844659,2025-02-21,Exeter,,nh_flat,2m 161y,3681,Aceofadiamond,11,,-128.57,-125.38,-0.06,-79.32,253.39,254.03,24,5
844659,2025-02-21,Exeter,,nh_flat,2m 161y,3681,Rouban,10,,-128.37,-125.18,0.14,-79.12,253.39,254.03,24,5
891843,2025-11-29,Doncaster,,nh_flat,2m 128y,3648,Joy Pain And Sky,10,,328.25,315.49,-,380.34,240.61,238.80,17,3
836801,2025-01-01,Fakenham,handicap,hurdle,2m 7f 95y,5155,Hurst Hill,5,91,-126.02,-126.02,-,-52.97,364.05,364.05,7,7
893227,2025-12-10,Hexham,handicap,hurdle,2m 7f 63y,5123,Moveonbuy,4,83,-125.34,-125.34,76.66,-13.88,373.06,373.06,11,11
882335,2025-10-03,Hexham,handicap,hurdle,2m 7f 63y,5123,Star Vantage,6,92,-124.53,-124.53,-,-116.25,373.06,373.06,11,11
882335,2025-10-03,Hexham,handicap,hurdle,2m 7f 63y,5123,Getaway With You,5,75,-124.23,-124.23,-,-115.95,373.06,373.06,11,11
844852,2025-02-23,Fontwell,handicap,chase,3m 1f 210y,5710,Record High,1,95,-123.09,-123.09,-,-,406.70,406.70,13,13
876415,2025-08-30,Newton Abbot,maiden,hurdle,2m 167y,3687,Casual Encounter,5,,-122.93,-122.93,-,-138.35,246.65,246.65,35,27
845370,2025-02-26,Bangor-on-Dee,handicap,chase,2m 1f 77y,3817,Royal Deeside,5,93,-121.20,-121.20,-,-35.00,256.28,256.28,9,9
845189,2025-02-21,Warwick,handicap,hurdle,3m 2f,5720,Fantomas,10,81,-121.00,-121.00,-,-60.33,379.72,379.72,5,5
882335,2025-10-03,Hexham,handicap,hurdle,2m 7f 63y,5123,Wee Alki,4,94,-120.98,-120.98,-,-112.70,373.06,373.06,11,11
876415,2025-08-30,Newton Abbot,maiden,hurdle,2m 167y,3687,Lynsey Larue,4,,-120.93,-120.93,-,-136.35,246.65,246.65,35,27
890412,2025-11-20,Wincanton,handicap,chase,1m 7f 149y,3449,Authoceltic,1,108,319.05,319.05,-,298.63,250.39,250.39,2,2
845374,2025-02-26,Bangor-on-Dee,maiden,hurdle,2m 3f 123y,4303,Steal The Moves,3,,-118.36,-118.36,-,-13.92,287.48,287.48,20,20
843753,2025-02-15,Wincanton,handicap,hurdle,2m 5f 82y,4702,Les's Jersey Royal,2,88,-118.23,-118.23,-,-89.72,310.06,310.06,5,5
837304,2025-01-05,Chepstow,handicap,chase,3m 2f 54y,5774,Fairlawn Flyer,7,105,-118.15,-118.15,-,-,412.81,412.81,2,2
882335,2025-10-03,Hexham,handicap,hurdle,2m 7f 63y,5123,Zwicky,3,99,-117.98,-117.98,-,-109.70,373.06,373.06,11,11
841726,2025-01-30,Wincanton,novice,hurdle,2m 5f 82y,4702,Only Gossip,3,,-117.86,-117.86,-,15.40,310.06,310.06,5,5
889604,2025-11-16,Fontwell,handicap,hurdle,2m 5f 164y,4784,Sawpit Samantha,10,73,-117.65,-117.65,-,-104.15,329.30,329.30,19,19
865308,2025-06-29,Cartmel,handicap,chase,3m 1f 107y,5607,Pilgrims King,7,92,-117.33,-117.33,-,-84.93,393.51,393.51,7,7
